,Temp,sj1,chij1,sj10,chij10,sj20,chij20,sj50,chij50
0,0.0499999999999999,1.298526791110439e-07,8.244614438774013e-09,1.298526791110439e-07,8.244614438774013e-09,1.298526791110439e-07,8.244614438774013e-09,1.0832576925766987e-09,5.5551775457541774e-11
1,0.0546775918086925,6.600969123275634e-07,4.56284900006426e-08,4.388216254959461e-07,2.9671078959722813e-08,3.873068141990788e-07,2.6014377553026473e-08,3.671736827664897e-09,1.979704066238002e-10
2,0.05979278091996,2.8997932054590643e-06,2.1813912082209167e-07,1.3664861128610511e-06,9.837502256319062e-08,1.0815830336336826e-06,7.683945314276668e-08,1.166815477807976e-08,6.613757410105203e-10
3,0.0653865053649631,1.1147593443103642e-05,9.12222508952222e-07,3.941742929854817e-06,3.020682390448219e-07,2.838679617914863e-06,2.1327019270474254e-07,3.487807321425156e-08,2.078107273404653e-09
4,0.0715035330028468,3.793479315544125e-05,3.375283946739556e-06,1.0584668963386104e-05,8.632332175246639e-07,7.027186741886188e-06,5.582179378641065e-07,9.837361167502017e-08,6.16045726927589e-09
5,0.0781928198081807,0.000115478055235,1.1166279793135705e-05,2.658127194962973e-05,2.30648948555369e-06,1.6463529999541848e-05,1.3825108515200051e-06,2.625836704877854e-07,1.7280964873623346e-08
6,0.0855079016768471,0.0003174967786377,3.3346548708498365e-05,6.269884388498204e-05,5.786878356175052e-06,3.662052322871841e-05,3.2501519645757974e-06,6.651839991226085e-07,4.599943862772357e-08
7,0.0935073228860893,0.0007953751854779,9.06845785037734e-05,0.0001394712284104,1.368850231993582e-05,7.75694660700525e-05,7.274596936995513e-06,1.6034705071818985e-06,1.1649949575411078e-07
8,0.1022551046377841,0.0018301272700268,0.0002263703212533,0.000293693709675,3.0642387944694106e-05,0.0001569103115268,1.5545658634159877e-05,3.6874543595598913e-06,2.814369702665094e-07
9,0.1118212574347981,0.0038962125331252,0.0005224710291157,0.0005875265077163,6.514403015238245e-05,0.0003039244510217,3.180226635457929e-05,8.109320606047452e-06,6.500796760633872e-07
10,0.1222823413910924,0.0077257796333666,0.0011223356097892,0.0011202661742414,0.0001319599160033,0.0005651000611004,6.243704900635378e-05,1.7093348512272535e-05,1.4390307750486388e-06
11,0.1337220789598668,0.0143546547588763,0.0022572756475667,0.0020423002398114,0.0002554817399771,0.0010110185568417,0.0001179192598545,3.460964544383673e-05,3.059362659958921e-06
12,0.1462320249835471,0.0251273207291646,0.0042733248387671,0.0035700668630556,0.0004741028915189,0.0017443551013927,0.0002147074007201,6.745112661724225e-05,6.259515199403873e-06
13,0.1599122994281784,0.0416397849734618,0.0076512344728819,0.0060001118616389,0.0008455473323453,0.0029084574300771,0.0003776875564814,0.0001267805620377,1.2349382748244048e-05
14,0.1748723886664672,0.0656078162444091,0.0130109053942962,0.0097197226427882,0.0014528804201915,0.0046956641083782,0.0006431157447846,0.0002302468632571,2.353679167273616e-05
15,0.1912320217223226,0.0986631286782628,0.0210911825935328,0.0152112784930447,0.0024106913804892,0.0073542560584899,0.0010619636281981,0.0004047411870488,4.341182981139207e-05
16,0.2091221284896837,0.142099644481132,0.0326983765863355,0.0230475148556289,0.0038706867338574,0.0111927564873104,0.0017034715546625,0.0006898100118496,7.761571521401318e-05
17,0.2286858875944776,0.1966120050549518,0.0486227137381733,0.0338754268518064,0.0060257119100404,0.0165802496765575,0.0026586095314322,0.0011416637912941,0.0001347274714635
18,0.2500798722859879,0.2620828797876297,0.0695308234677791,0.0483875440071864,0.0091110713947991,0.0239415092913462,0.0040430469965471,0.0018376204127861,0.0002273921729052
19,0.2734753035284643,0.337476903818972,0.0958522710829601,0.0672807446645569,0.0134019985802707,0.0337460247593863,0.0059991503267382,0.0028807115606295,0.0003736979667512
20,0.2990594203217535,0.4208817115598172,0.1276851898728821,0.0912045380021021,0.0192062885728388,0.0464904847452443,0.0086964791780937,0.0044040701667703,0.0005987852300329
21,0.3270369782179411,0.5097015756926541,0.1647460131865915,0.1207026503662194,0.0268514951082508,0.06267489799911,0.0123302566305013,0.0065746235229011,0.0009366407344266
22,0.3576318880269773,0.6009670209659178,0.2063791319684482,0.1561535543385792,0.0366667241138893,0.0827732652614049,0.0171173612529037,0.0095955543238801,0.0014319941779999
23,0.3910890078262222,0.691691110001114,0.2516263430357572,0.1977169293629321,0.048959898068888,0.1072005028944775,0.0232895461550517,0.0137069736691469,0.0021421964061013
24,0.4276761026157749,0.7791939781147452,0.2993394787807283,0.2452935439077631,0.0639923109615954,0.1362780762416501,0.0310838374385411,0.0191842848019364,0.0031389213756699
25,0.4676859873031571,0.8613345144894294,0.3483094699748811,0.2985053427862794,0.0819531591306153,0.1702014182984491,0.0407303943646037,0.0263338084782107,0.00450950136859
26,0.511438870168148,0.9366220308196244,0.3973847464864647,0.3567004352627889,0.1029372834707757,0.2090125568856301,0.0524384973766936,0.0354853900998483,0.0063576816263122
27,0.559284915563058,1.0042155492924896,0.4455598163455218,0.4189843651534168,0.1269293719363097,0.2525813214970885,0.0663817152603776,0.0469819106474994,0.0088035713777562
28,0.6116070463583196,1.0638415192156765,0.4920263119819817,0.4842750529867456,0.1537972273094316,0.3005979555253557,0.0826836163142682,0.0611658694927367,0.0119825782853363
29,0.668824008562006,1.1156682809735816,0.536188903267029,0.5513749912150917,0.1832954573371461,0.3525789047392088,0.1014055501477924,0.0783634844541651,0.0160431475133104
30,0.7313937226401375,1.1601707505652974,0.5776545554441211,0.6190515713770084,0.2150793375702664,0.4078860842089895,0.1225379700438982,0.0988670447418092,0.0211431887500431
31,0.7998169483591505,1.1980079594464774,0.6162054360679892,0.6861155010972322,0.248727006666926,0.4657582564798407,0.1459964618236281,0.1229165309745095,0.02744516614695
32,0.8746412924811156,1.2299248029210117,0.6517646286310769,0.7514883042641423,0.2837669619256995,0.5253515808248602,0.1716231202416142,0.1506817516001243,0.0351099450512595
33,0.9564655913861948,1.2566807024016915,0.6843613002725831,0.8142525101934974,0.3197072880363699,0.5857852272294993,0.1991932521396071,0.1822463996419885,0.0442896281380626
34,1.0459447036974814,1.2790026676437791,0.7140993191018509,0.8736815543907351,0.3560632303613832,0.6461874259500792,0.2284267111932668,0.2175954693359431,0.0551197584903849
