Temp,Sj1,Sj10,Sj20,Sj50,chij1,chij10,chij20,chij50
0.0004999999999999,0.0432682624523739,0.0448044093436204,0.0430502110587551,0.0384596305195505,0.0047965906821331,0.0059748687031957,0.0056039746813902,0.0054203930770283
0.0005728110650338,0.0358308341942001,0.0395768784594031,0.0357950413473499,0.0346726089088959,0.004868271410301,0.0047615996131135,0.0050575905436436,0.0049895373427065
0.0006562250324505,0.0456905668036897,0.0451178863426777,0.0393153541259978,0.0372025351183825,0.0058731075815989,0.0047256381834605,0.0055888494914193,0.0051680714935149
0.0007517859194797,0.0395296858000202,0.0371024226666144,0.0359594891680097,0.0426808891794776,0.0055551109534941,0.0051164261793529,0.0049856479886004,0.0058227752292122
0.0008612625864293,0.0368956442690557,0.0435726127269549,0.0364730964622823,0.0413976534236661,0.0049804275805942,0.0060625694434028,0.0050253529177927,0.0056229438956496
0.0009866814788129,0.0444669722796327,0.0425149323351164,0.0381996254977575,0.0435307288951087,0.0057546169756196,0.0042108663893335,0.0053428457555786,0.0045402226395614
0.0011303641374561,0.0450134352120725,0.0363434760070151,0.0371778034452013,0.0388047094418356,0.0065967370281101,0.0051603037535388,0.0051752102159987,0.0055617521295682
0.0012949701709047,0.0445163907924887,0.0375926867548454,0.0373082583595845,0.0364009844329791,0.0049669109405724,0.0053080244191688,0.0052414940260015,0.0049634049562595
0.0014835464855661,0.0436778813253153,0.0394962869244243,0.0431805630428639,0.0442977630191107,0.0034699559926099,0.0055619671729353,0.0047169797052339,0.0053791657636684
0.0016995836848488,0.0382236852040203,0.0440485084695557,0.0395855584493961,0.0417243216280532,0.0053253710003691,0.0059956566976375,0.0053910966980318,0.00442019501112
0.0019470806812649,0.0454687163257292,0.0371851707207965,0.0440129232502437,0.0439638302622067,0.0064011761861487,0.0053577937816964,0.0063954944350194,0.0061841056800187
0.0022306187174846,0.0445998291494689,0.0367970295567812,0.0471700833375187,0.0388920189727784,0.006280555391946,0.0050818207496377,0.0059502982659042,0.005411578044517
0.0025554461664938,0.0473177289785266,0.0432105655614476,0.0369632925497718,0.0421313554990361,0.0054196614007065,0.0049204524331854,0.0051579622184493,0.003421023937796
0.0029275756805322,0.0449599435502452,0.0454788342475731,0.0378857575682662,0.0392577721914587,0.0047191447660028,0.0059339926006707,0.0053400840659282,0.0051080645959698
